name,pool,category,shape,status,description,check_or_gap,decision
DMC,In app,Library,library,Shipped — signed,Every DMC thread in the catalogue.,,
All threads,In app,Library,library,Shipped — signed,Every thread from all eight brands.,,
My inventory,In app,Library,library,Shipped — signed,Only the threads marked as owned. Empty by construction until stocked.,,
Black & white,In app,Generated map,map,Shipped — signed,Two entries: black and white.,,
Retro 16,In app,Generated map,map,Shipped — signed,"The HTML4/VGA named set of sixteen, in VGA index order.",,
Web-safe,In app,Generated map,map,Shipped — signed,"The 216 web-safe values, six levels per channel.",,
Sepia,In app,Range rule,rule,Shipped — signed,"Hue 18-50, saturation 8-60, brightness 15-96. Resolves 346 entries.",,
Pastels,In app,Range rule,rule,Shipped — signed,"Saturation 0-45, brightness 65-100. Resolves 965 entries.",,
Classic cross stitch,In app,Curated,curated,Shipped — signed,Twenty-five DMC shades a beginner kit reaches for.,,
Autumn leaves,In app,Gallery,rule,Shipped — batch 1 (D140),"Hue 10-42, saturation 45-100, brightness 22-78.",,
Golden hour,In app,Gallery,rule,Shipped — batch 1 (D140),"Hue 28-55, saturation 40-100, brightness 72-100.",,
Winter frost,In app,Gallery,rule,Shipped — batch 1 (D140),"Hue 175-245, saturation 5-35, brightness 70-100.",,
Deep sea,In app,Gallery,rule,Shipped — batch 1 (D140),"Hue 185-255, saturation 35-100, brightness 8-45.",,
Neon noir,In app,Gallery,rule (3 bands),Shipped — batch 1 (D140),Magenta and cyan poles over a near-neutral dark floor. Signed with a known residual: its largest area is a mid grey-taupe.,,
De Stijl primaries,In app,Gallery,curated,Shipped — batch 1 (D140),"Red, blue, yellow, black, white.",,
Delft blue,In app,Gallery,curated,Shipped — batch 1 (D140),"Eight rungs, winter white through to near-black navy.",,
Ukiyo-e woodblock,In app,Gallery,curated,Shipped — batch 1 (D140),"Eleven blocks: warm creams, ochres, madder, sage, indigo, black.",,
Rainforest,In app,Gallery,rule,Shipped — batch 2 (D146),"Hue 75-165, saturation 40-100, brightness 12-52. Canopy greens.",,
Spring meadow,In app,Gallery,rule,Shipped — batch 2 (D146),"Hue 70-150, saturation 38-100, brightness 52-98. The same arc above the seam.",,
Gemstones,In app,Gallery,rule,Shipped — batch 2 (D146),"Saturation 72-100, brightness 30-88. No hue band at all — chroma is the claim.",,
Moorland,In app,Gallery,rule,Shipped — batch 2 (D146),"Saturation 8-42, brightness 18-58. The mirror of Gemstones.",,
Art deco,In app,Gallery,curated,Shipped — batch 2 (D146),"Cream, pearl grey, two golds, jade, black. Pearl Grey takes 43.8% of the evidence card.",,
Mid-century modern,In app,Gallery,curated,Shipped — batch 2 (D146),"Butter, mustard, burnt orange, olive, teal, dark brown.",,
Fair Isle,In app,Gallery,curated,Shipped — batch 2 (D146),"Undyed wool then four traditional dyes: madder, indigo, ochre, moss.",,
Fluoro spot print,In app,Gallery,curated,Shipped — batch 2 (D146),"Pink, yellow, green, blue, black on off-white stock. Renamed off a trademark.",,
Greys,In app,Generated map,map,In app as a library — no profile,"Four even greys, dark to light. Selectable in the profile editor but has no built-in profile of its own.",Near-free addition: a one-line profile entry would surface it.,
1-bit RGB,In app,Generated map,map,In app as a library — no profile,The eight saturated corners. Selectable in the editor but has no built-in profile.,Near-free addition. Also: this is exactly the teletext eight.,
2-bit RGB,In app,Generated map,map,In app as a library — no profile,"Sixty-four values, four levels per channel. Selectable in the editor but has no built-in profile.",Near-free addition.,
Impressionist water-lilies,Pool A,Movements and eras,unassessed,"Queued — pool A, unsigned","Name only — no rule, membership or shape ever drafted.",,
Art nouveau,Pool A,Movements and eras,unassessed,"Queued — pool A, unsigned","Name only — no rule, membership or shape ever drafted.",,
Bauhaus,Pool A,Movements and eras,unassessed,"Queued — pool A, unsigned","Name only — no rule, membership or shape ever drafted.",,
Pop art (Warhol),Pool A,Movements and eras,unassessed,"Queued — pool A, unsigned","Name only — no rule, membership or shape ever drafted.",RENAME REQUIRED — artist estate enforces.,
Memphis,Pool A,Movements and eras,unassessed,"Queued — pool A, unsigned","Name only — no rule, membership or shape ever drafted.",,
Baroque gold,Pool A,Movements and eras,unassessed,"Queued — pool A, unsigned","Name only — no rule, membership or shape ever drafted.",,
Rococo pastel,Pool A,Movements and eras,unassessed,"Queued — pool A, unsigned","Name only — no rule, membership or shape ever drafted.",,
Technicolor,Pool A,Design and media,unassessed,"Queued — pool A, unsigned","Name only — no rule, membership or shape ever drafted.",RENAME REQUIRED — a live trademark; now caught by the guard.,
Vaporwave,Pool A,Design and media,unassessed,"Queued — pool A, unsigned","Name only — no rule, membership or shape ever drafted.",,
Y2K chrome,Pool A,Design and media,unassessed,"Queued — pool A, unsigned","Name only — no rule, membership or shape ever drafted.",,
Rave flyer,Pool A,Design and media,unassessed,"Queued — pool A, unsigned","Name only — no rule, membership or shape ever drafted.",Check against pool B Fairground and carousel.,
8-bit arcade,Pool A,Design and media,unassessed,"Queued — pool A, unsigned","Name only — no rule, membership or shape ever drafted.",Check against pool B Home console.,
Cosy pixel farm,Pool A,Design and media,unassessed,"Queued — pool A, unsigned","Name only — no rule, membership or shape ever drafted.",,
Talavera tile,Pool A,Craft and place,unassessed,"Queued — pool A, unsigned","Name only — no rule, membership or shape ever drafted.",Mexican denomination of origin — owner call.,
Batik,Pool A,Craft and place,unassessed,"Queued — pool A, unsigned","Name only — no rule, membership or shape ever drafted.",,
